document,0,1,2,3,4,5,6,7,8,9,10,11
180,0.02943804,0.15609935,0.35662875,,0.13342674,0.06641728,0.17733635,0.06583435,,,,0.014346476
181,0.078966476,0.16476311,0.1295564,0.01172976,0.26073492,,0.045420125,0.029221345,,0.14304902,0.026117934,0.110209316
182,0.083286926,0.14045891,0.16651483,0.0127935195,0.16158895,0.04932298,0.1193322,0.014274465,,0.037286438,,0.2054258
183,0.37767982,0.28733137,0.044192724,,0.076087676,0.039071918,,,,0.07967865,,0.083437264
184,,0.3460943,0.11621196,,,0.1736478,,,,0.14189935,,0.21660261
185,0.28814605,0.097727455,0.039796714,0.017574431,,,,,,0.040251043,0.016132012,0.49042785
186,0.15224388,0.096498795,0.091303855,,0.10355253,0.09265422,0.03816698,,0.030310733,0.32210383,,0.06736543
187,0.22814149,0.06134856,0.1707064,,0.17467122,0.108846694,0.093418576,,,,,0.1547423
188,0.25351325,0.13694923,0.066181585,0.040417325,0.059629343,0.07646336,,0.032167085,,0.27859372,,0.05417683
189,0.2165306,0.23978518,0.15079045,,,0.10015665,0.13192482,,,0.02298464,,0.12686054
190,0.17543648,0.2675178,0.18947814,,0.044061266,0.08429708,,0.02999778,,0.027861927,0.023892753,0.15216239
191,0.13379502,0.30747983,0.08822555,,,0.03865805,0.010365142,,,0.09258437,,0.31196254
192,0.21796978,0.037342668,0.012901739,,0.44356963,0.01474965,0.06138666,,,0.1355724,,0.056164466
193,0.15825143,0.18693641,0.16178916,,0.11315817,0.052184857,,0.015452446,,0.15517539,0.020369377,0.12782244
194,0.21256013,0.35075906,0.05164569,0.013740276,0.12218393,,,0.046250556,,0.04556645,0.013149891,0.14036794
195,0.09056647,0.43873033,0.022180662,,0.04177525,0.017881181,0.017152788,0.097223714,0.019672463,0.06964968,0.011759064,0.17333902
196,,0.10848096,0.12638706,,0.20530091,,0.053710405,0.19147797,,0.29718018,0.016984953,
197,0.14149506,0.13129805,0.1530043,,0.24249388,0.06959586,0.1661165,0.07155893,,,0.019636573,
198,0.2899025,0.18969144,0.19769788,,0.1289679,0.033027206,0.023425503,,,,,0.13442382
199,0.17769796,0.20590764,0.17517062,0.022967217,0.16317262,0.02654672,,,,0.06816272,,0.15997279
200,0.046769496,0.16074939,0.11726525,0.017870344,0.08337861,0.08649744,0.039853077,0.031789478,,0.38617963,0.025902582,
201,0.10319615,0.12772457,0.24699597,,0.14002644,0.035013776,0.077023566,,,,,0.2697202
202,0.11558289,0.34326053,0.046935003,,0.050519563,0.059399504,0.122132406,0.03553212,,,0.011906043,0.21449988
203,0.06410047,0.069082014,0.016079402,0.019695261,0.6686745,0.017943202,0.037572257,,,0.07706025,0.021446835,
204,0.19935447,0.0754369,0.10188355,0.025937729,0.43519315,0.06545371,,0.0635287,,,,0.029021358
205,0.14997108,,0.12692842,0.015130936,0.50796527,,,0.020340309,,0.09730791,0.011852718,0.058033857
206,,0.6518573,,,,0.14544456,,,0.021102203,0.13690124,0.042934302,
207,0.1669883,0.22046056,0.07786424,,0.13595901,0.06652426,0.025187142,0.023993079,0.016514491,0.18959786,,0.06764404
208,0.22223343,0.06982262,0.06714255,,0.3815937,0.08508398,0.035296913,0.024154691,,0.04574262,0.013345721,0.05068119
209,0.12953062,0.06032542,0.044918884,,0.23858817,0.029621165,,,0.020642871,0.3511062,0.03748144,0.08747325
210,0.27597633,0.056214906,,0.015546715,0.2543825,,0.011683931,0.03169783,,0.28099245,,0.057169147
211,0.09906359,0.21053855,0.07837971,,0.24107017,0.078991644,0.012320281,0.09754484,,0.12467491,,0.04633801
212,0.28252122,,0.057706006,0.015367138,0.40745482,,0.037196886,,,0.19565447,,
213,0.212439,0.032963157,0.04768444,,0.25903445,0.04185293,0.09060348,,0.013266848,0.30168587,,
214,,,0.5889559,,,0.03834421,0.037501194,0.0639132,0.012611295,0.10127298,0.027015671,0.1300882
215,,0.10944357,0.13430919,,0.042845637,0.01834116,0.49500018,0.093003385,,0.080244996,0.02662423,
216,0.15463567,0.1412492,0.11247375,,0.27529168,,,0.13093323,,0.18241678,,
217,0.2763325,0.0953394,,,0.40862507,,0.023678156,,,0.0983058,,0.079271406
218,,0.2698653,0.05337861,,0.25639963,0.11109325,,0.2228974,,0.085408494,,
219,0.1302315,,,0.015016531,0.37965125,0.023102846,,0.029736059,0.0198452,0.37378722,,0.028357396
220,0.12892726,,0.049982794,0.015031221,0.45004377,0.033505645,0.010818666,0.07689829,,0.11751743,,0.105467595
221,0.1688772,,,0.04975586,0.28865448,0.03814418,0.031014277,0.04384641,,0.31935346,,0.060078345
222,0.19243872,0.09364832,0.26971686,,0.14443468,0.0901474,0.04262046,,,,,0.16671458
223,0.16683419,0.036631573,,0.013490672,0.4752701,,0.025527595,0.068720914,,0.06532807,,0.14163175
224,0.19859287,,,,0.13979712,0.08229846,,0.09974825,0.02621684,0.42644194,0.018103648,
225,0.26041037,0.030004576,0.020515146,0.021666497,0.19295588,0.017134937,,,,0.36868602,,0.08152218
