document,0,1,2,3,4,5,6,7,8
65,0.43589944,0.018921401,,0.07814348,,0.4039682,,,0.032906763
66,0.10298939,0.055004768,0.043511163,0.039170343,0.07402592,0.35243967,0.04505402,0.1611043,0.12670043
67,0.1315218,0.15717584,0.033259697,0.1058793,0.07855689,0.2946139,0.046002347,0.10173745,0.051252797
68,0.770163,0.023433937,,0.030849343,,0.12882297,0.010306082,,0.019795455
69,0.27195206,0.10461818,0.043010183,0.039401066,0.032420103,0.42169023,0.025222149,0.026052922,0.035633124
70,0.8083389,,,0.0149345985,,0.1096263,0.019344984,0.013494341,0.013179239
71,0.011706256,0.01277136,0.07885838,0.037421778,0.21161593,0.116847426,0.04216002,0.1285965,0.36002237
72,0.35926214,0.019566044,,0.080591455,0.018361127,0.27563307,0.023425099,0.123780526,0.09055035
73,0.6538497,0.06591618,,0.026892265,0.012697878,0.1581896,0.033322245,0.012498926,0.03154531
74,0.2705091,0.0385594,0.01164999,0.02198096,0.05416977,0.23409492,0.04079831,0.2284942,0.09974336
75,0.01927274,0.071121134,0.016209068,0.023631247,0.028030287,0.46982473,0.056806337,0.28027317,0.034831244
76,0.01901985,0.061865296,0.03639834,0.043007758,0.08433942,0.5647549,0.014289519,0.058404263,0.11792062
77,0.86561465,,,0.026599739,,0.05581763,,,0.033009727
78,,0.027330114,0.12051998,0.060199726,0.27132425,0.07174208,0.033971835,0.04106125,0.36724165
79,0.2539798,0.04865893,0.01924742,0.032759473,0.11778791,0.31771058,0.051442657,0.12423199,0.034181222
80,0.2533752,0.024916934,0.031653017,0.08439334,0.023736734,0.2982713,0.012219857,0.15513138,0.11630222
81,0.37893245,0.017673174,0.022809919,0.12672351,0.021704482,0.16755496,0.011255318,0.17925166,0.074094534
82,0.124987446,0.058811888,,0.06610884,0.024275577,0.36556283,0.019201668,0.14339703,0.18824957
83,0.33293015,0.016627487,0.04384623,0.06857824,0.010675676,0.46693924,,0.0123850405,0.040835697
84,0.15694788,0.3417344,0.013660796,0.08889046,0.025897572,0.14810362,0.013144148,0.029427417,0.18219371
85,0.014918979,0.043105863,0.04138933,0.12683731,0.03490776,0.3399953,0.025158495,0.28392816,0.08975884
86,0.14057222,0.0832899,0.015952202,0.07294864,0.08538332,0.17043841,0.039533816,0.08396379,0.30791774
87,0.030679531,0.016365526,0.05587692,0.02014851,0.13797784,0.2620784,0.038316347,0.08440259,0.35415432
88,0.31147814,0.10101668,,0.04967462,0.04366249,0.37497702,0.010383409,0.061956342,0.039057776
89,0.16643009,0.1637557,0.04447585,0.06737537,0.017468745,0.4142053,0.010965126,0.03324528,0.0820785
90,0.013429573,0.014781437,0.062259812,0.045854818,0.14201668,0.21537098,0.07500751,0.17697267,0.2543065
91,0.025082037,,0.046297137,0.038314823,0.23360972,0.16365421,0.013560988,0.1749124,0.2969663
92,0.018497221,0.0377634,0.09642296,0.06660885,0.06793214,0.36467707,0.011727454,0.26108745,0.07528347
93,,0.02413809,0.13836955,0.06357097,0.31601518,0.06616447,0.03189096,0.011073182,0.34247622
94,0.13562949,0.11021598,0.029238567,0.071147524,0.059840742,0.22980987,0.014287217,0.234432,0.11539858
95,0.07844727,0.01340782,0.046242196,0.073510535,0.17715855,0.08166692,0.07986508,0.1306028,0.3190988
96,0.15417074,0.07865135,0.054750904,0.09502255,0.06365259,0.1470704,0.032768894,0.32892746,0.04498511
97,0.13621037,0.04322483,0.018488307,0.057554234,0.06187683,0.44932178,0.014214288,0.19468646,0.02442288
98,0.015901739,0.01830234,0.0142550245,0.022937525,0.052171554,0.34686813,0.0583084,0.35193127,0.11932404
99,0.3036143,0.019440833,0.040153086,,,0.5983093,0.012830431,,
100,0.23098311,0.032578565,0.01108056,0.018466406,0.034729276,0.509334,0.029111583,0.088343926,0.04537261
101,0.019948097,0.10142315,,0.10319378,0.015948547,0.42089656,0.025879294,0.1932553,0.10966038
102,,,0.98001695,,,,,,
103,0.25680432,0.041091386,0.06720722,0.037663616,0.119608566,0.33357066,0.060264975,0.048507083,0.03528218
104,0.29924,0.3378293,,0.09294083,0.012640339,0.21971817,,0.011480795,0.014282037
105,0.24928129,0.029270759,,0.05740216,0.020136299,0.35334024,0.013388209,0.22938536,0.04056279
106,0.18109688,0.06469446,,0.027408713,0.023461642,0.63506275,0.012469958,0.0312832,0.015208744
107,0.010642156,0.05529872,0.012185433,0.057069145,0.19347927,0.25993913,0.03955159,0.23585384,0.13598073
108,0.1535027,0.0359354,0.030286249,0.0897353,0.05417668,0.31497037,,0.25611663,0.05593827
109,0.043587383,0.05364373,0.07875498,0.046559554,0.34090135,0.087630294,0.011723784,0.045744285,0.2914546
110,0.21146254,0.07414019,0.025833782,0.07630102,0.03129789,0.12520073,0.07218551,0.2025025,0.18107587
111,,0.021348963,0.02688519,0.06999493,0.07357473,0.22853793,0.050965603,0.30826163,0.21063806
112,0.019388119,0.014782421,0.32241184,0.06296037,0.0947015,0.1622921,0.018230801,0.03268299,0.27254987
113,0.040394925,,0.11654953,0.056836892,0.11874362,0.34373814,0.013720437,,0.29251498
114,0.010052156,0.05499254,0.077557616,0.04929234,0.10033382,0.1741227,0.01825489,0.19297783,0.3224161
115,0.10464378,0.015956484,0.42435727,0.028339278,0.019671211,0.15414299,0.016341744,0.17888112,0.057666115
116,0.23231286,0.034305893,0.025796182,0.05749407,0.020642644,0.5395338,0.013761946,0.04290619,0.033246428
117,0.011697615,0.020484827,0.12670328,0.03671252,0.31069916,0.04048543,0.032238364,0.027577372,0.39340138
118,0.21279982,0.057656474,0.021706063,0.03467441,0.06375045,0.28555074,0.07676685,0.1307296,0.11636558
119,0.33983088,0.07229705,0.023857452,0.039489675,0.028434264,0.37818438,0.031918198,0.027461605,0.058526535
