document,0,1,2,3,4,5,6,7,8,9,10,11
178,,0.10771742,,0.2887448,0.33537033,0.056246635,,,0.19251595,,,
179,0.2791509,,,0.07761837,0.09447428,,0.06515929,,0.46293268,,,
180,,0.02254368,,,0.4346867,0.15299337,,,0.3685647,,,
181,0.058009353,0.15270008,,0.09255238,0.12736897,,0.37043664,,0.17979942,,,
182,,0.08844465,,0.06961703,0.06419917,,0.10777724,,0.6509806,,,
183,0.086496875,,,,0.22356708,,0.3006206,,0.36562744,,,
184,,,,0.14650592,0.31226718,,0.33704466,,0.18368742,,,
185,,,,,0.05392135,,,,0.9021041,,0.021542141,
186,,0.070562385,,0.027647438,0.420485,,,,0.34754133,,,0.113232724
187,,,,0.19317557,0.34926072,,0.20521578,,0.10719431,,,0.12396615
188,,,,0.098878734,0.027865844,,0.11322581,,0.7434489,,,
189,0.246416,,,0.06534436,,,,,0.6152656,0.04855202,,
190,,,,0.07064419,0.38581035,,,,0.5191337,,,
191,,,,,0.30152953,,,,0.6818405,,,
192,,,,0.086280726,0.14492264,,0.2395087,,0.4740942,,,0.033840954
193,0.045229614,0.07755104,,,0.13904822,0.01402203,,,0.7048336,,,
194,,0.16023317,,0.102008075,0.24937528,,,,0.3027579,,,0.1681779
195,,0.1714204,,,0.36012113,,,,0.44164225,,,
196,0.2512716,0.044837132,,0.32609814,0.13716015,0.16579719,,,0.053847797,,,
197,,0.2792088,,0.059333682,0.46822506,,,,0.17375728,,,
198,,0.039776657,,0.15205754,0.26716858,,0.22627799,,0.13938355,,,0.15755433
199,,,,0.1286207,0.38535333,,0.29312217,0.0507632,0.117923886,,,
200,,,,0.34740853,0.4186065,0.04265543,0.14332262,,,,0.034719657,
201,,0.33438286,,,0.3947645,,,,0.19795561,,,0.054715525
202,,0.07363117,,,0.35974267,,,,0.28455564,,,0.25760588
203,,,0.08481882,0.035014905,0.15783775,,,,0.70794296,,,
204,0.065302625,,,0.08296893,0.428506,,,,0.3981146,,,
205,0.0902098,,,0.07167052,0.34693906,,,,0.4421674,0.02608458,,
206,0.24168047,,,0.161062,,,0.38465047,,0.18746386,,,
207,0.08893626,0.15478282,,0.13059974,0.14406148,,0.15371072,,0.31082293,,,
208,,,0.058518417,,0.6198287,,,,0.29664493,,,
209,,0.0885589,0.11082132,0.22172152,0.10319481,,0.20194156,0.025069801,,,,0.2331209
210,0.1589271,0.21742815,,0.19400324,0.2055826,,,,0.15067135,,0.05309287,
211,,0.111433804,,0.15561473,0.7065507,,,,,,,
212,,,,0.030078497,0.07260114,,0.1305477,,0.7528461,,,
213,,0.115445055,,0.11392649,0.3456835,,,,0.107180394,,,0.2965198
214,0.05700955,,,0.091986395,0.19526762,0.08020881,,,0.5477511,0.018054793,,
215,0.14973731,,0.18462382,0.1188172,0.05784625,,0.20542999,,0.21675175,0.049421277,,
216,,,,0.15479326,0.14494647,,,,0.4809114,,,0.19387704
217,,0.052118383,,0.10791711,0.42138365,,,,0.256921,,,0.13749757
218,,,,0.2807021,0.39982024,,,,0.1064524,,,0.19344388
219,,,,0.6017333,0.15985857,0.18031372,,,,,,0.034926757
220,,0.057440087,,0.090533316,0.1814019,,,,0.56060004,,,0.09983077
221,0.06512982,0.07008848,,0.17323232,0.15339871,,0.13321142,,0.21001641,,,0.1802291
222,,0.054047164,,0.14514962,0.38518667,,,,0.17397499,,,0.22890197
223,,0.034798108,,0.34237817,0.5034917,,,,0.097452655,,,
224,0.15525317,0.08790426,,0.23190272,0.23831487,0.08829052,0.12763278,,0.05756977,,,
225,,0.2515491,,,0.6441453,,,,0.074911065,,,
226,,,,0.14272104,0.20656432,0.0670925,,,0.42083925,0.03682131,,0.107025094
227,,0.08506969,,0.09660043,0.42952612,,0.06999656,,0.17936559,0.019206623,,0.10941647
228,0.09886611,0.13825844,,0.3101409,0.32390568,,,,,,,0.11003621
229,,0.10735564,,0.11187523,0.3272925,,,,0.32617694,,,0.10402231
230,0.08503976,,,0.23034249,0.3351304,,,0.022884844,0.1499168,,,0.162351
231,,0.12406972,,,0.34652486,,,,0.34783772,,,0.16167022
232,0.031812936,,,,0.235983,,,,0.7126953,,,
233,,,0.08387807,0.30076656,0.23957022,,,,0.11660931,,,0.2368901
234,,0.043209318,,,0.45947552,,,,0.4745486,,,
235,,,,0.14115092,0.40562737,,0.11466312,,0.29639876,0.022653045,,
