document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
131,0.0997574,0.07646712,0.07297733,0.011512901,0.036682736,0.04201767,0.047959823,0.2836437,0.014589876,0.06340774,0.13019808,0.012484944,0.06702597,0.041274708
132,,0.032761626,0.10225692,0.038379382,0.41638842,0.013578698,,0.22275521,,,0.06492461,,0.021959452,0.046036992
133,0.020411214,,0.07521134,0.05220857,0.3772671,0.017217683,0.015602377,0.27685788,0.010272564,0.02330895,0.03903184,0.019559726,0.015511914,0.048984688
134,0.029241633,0.045351498,0.018793875,0.019457368,0.21820386,0.034847993,0.069974594,0.20445009,0.020943712,0.031828012,0.07753209,0.06511147,0.06180648,0.102457315
135,0.09870916,0.013890333,0.04028779,0.042614397,0.2875701,0.03329705,0.016853506,0.22030634,0.024804035,0.024761535,0.07885595,0.019320011,0.017340258,0.08138958
136,0.0798206,0.025359016,0.04075635,0.051118217,0.016915431,0.02013679,0.013112778,0.25265124,0.02369118,0.031795233,0.100501634,0.2959524,0.017271746,0.030917356
137,0.06391104,0.059863195,0.07200283,0.0130095435,0.056327768,0.037924305,0.14402318,0.17277816,0.010989841,0.119925074,0.04691091,0.059343103,0.019636557,0.12335452
138,0.010256509,0.011800087,0.06497861,0.06319647,0.4704184,0.011233196,,0.25000963,,0.0108851185,0.012488527,0.025106663,0.024518577,0.026484402
139,0.013921623,0.0142976325,0.04095875,0.061879054,0.3915686,0.019031415,0.012138977,0.21165733,0.013097894,0.012917923,0.16080992,0.0119671365,0.017445156,0.018308625
140,0.06667758,0.032664604,0.023648916,0.10287048,0.21891071,0.030706456,0.015410808,0.27624607,0.058028847,0.017677637,0.055393077,0.032839492,0.04529382,0.02363146
141,0.037411414,0.010435771,0.03089188,0.016053012,0.61030644,0.01685601,0.020315025,0.1366426,0.013471826,0.018931558,0.014411435,0.01449038,0.043087747,0.016694907
142,0.013483875,,0.0267028,0.034867104,0.766383,,,0.08639413,,,0.014394905,0.020497499,,
143,0.16181482,0.054283906,0.08260228,0.1129248,0.011036265,0.044309005,0.11779826,0.08903251,0.022796944,0.040923294,0.122413315,0.043888703,0.017338706,0.07883718
144,0.011160744,0.011976702,0.04452339,0.14657587,0.40097725,0.013151687,0.012851814,0.18863109,0.01410405,0.011256126,0.01876611,0.016665058,0.021030266,0.08832986
145,0.05297107,0.013045144,0.06691108,0.04018157,0.15819995,0.04572382,0.12114356,0.2979188,0.01493193,0.061287716,0.034772165,0.021663228,0.036315095,0.034934863
146,0.16295749,0.044774946,0.019472262,0.08474776,0.1641554,0.021953134,0.07744102,0.19721371,0.017740961,0.056211002,0.05997954,0.01244311,0.048150938,0.032758746
147,0.053367894,0.02231042,0.028576037,0.055157088,0.4876468,0.0243131,0.028979028,0.15916358,0.012194534,0.016887603,0.046592254,0.020306384,0.0125516,0.031953733
148,0.11113204,0.04545391,0.06518396,0.062420435,0.046627864,0.08323584,0.06504305,0.23941617,0.024389341,0.03374757,0.09698185,0.046706524,0.022615291,0.057046138
149,0.030519148,0.019160077,,0.039389566,0.56880665,,,0.15873064,,,,0.112577684,0.01758248,0.01861904
150,0.024257882,0.074212156,0.078298636,0.1315807,0.012214796,0.01962125,0.07253447,0.28385815,0.011522463,0.03756288,0.054513168,0.035325553,0.02683263,0.13766529
151,0.055584278,0.04344675,0.028675236,0.10866582,0.21890377,0.019532101,0.01804037,0.28334826,0.052251905,0.014612495,0.046060566,0.010015529,0.048489455,0.052373424
152,0.072031505,0.05633472,0.029847713,0.02891314,0.21952884,0.053414043,0.092111796,0.10268732,0.01986801,0.06490782,0.09370165,0.028463658,0.03130259,0.106887214
153,0.12980337,0.09930752,0.021898068,0.0550594,0.0308234,0.030304283,0.035491202,0.122243784,0.026984831,0.05695278,0.04564282,0.035577565,0.15601021,0.1539008
154,0.033170104,0.01121302,0.016339868,0.21851198,0.018866416,0.019724939,0.05037629,0.05805669,0.06004786,0.017590756,0.03146187,,0.3646863,0.09176795
155,,,,0.03521004,0.79775566,,,0.11420921,0.011523079,,0.010331177,,,
156,0.010346116,0.014575663,0.022681491,0.03966072,0.69359183,0.012155637,,0.112225406,,,0.01782408,,,0.03383555
157,0.013699345,,0.07288649,0.10868564,0.012714543,0.040913463,0.048177153,0.011885087,0.028815076,0.012955891,0.4318799,0.13530341,,0.070438534
158,0.08361292,0.0320586,0.01853681,0.017436273,0.5529302,0.0149593,0.016158966,0.07301057,0.013238275,0.019578181,0.013900787,0.02231536,0.019415582,0.10284816
159,0.109962575,0.016934006,0.1377508,0.07485986,0.017941587,0.06513185,0.037892144,0.17414674,0.015799094,0.061814144,0.112054065,0.09239357,0.04530067,0.038018882
160,0.029052557,0.011798956,,0.10534301,0.43933457,0.016148442,0.082553454,0.11047735,,0.016452795,0.043120887,0.027844578,0.050238274,0.050679535
161,0.042424414,0.016718704,0.1332442,0.07112557,0.10094372,0.038868546,,0.03373115,0.013018574,0.016748454,0.342176,0.14941245,0.022709103,
162,0.026366346,,0.01702011,0.046845187,0.28582183,0.03512077,0.018242685,0.052535746,,0.023334473,0.27383828,0.1717067,,0.022286052
163,0.050869815,0.025469866,0.024151042,0.05488626,0.36508235,0.01565405,0.01307435,0.26722184,0.017536435,0.02075265,0.058697894,0.0474643,0.024872791,0.014266317
164,0.03194102,0.02004163,0.08137718,0.055922534,0.25879636,0.10705861,0.02325422,0.037004776,0.016308516,0.011933666,0.21349013,0.08553116,0.01692269,0.040417515
165,0.09683239,0.025456397,0.03004464,0.10896742,0.039419767,0.019675003,0.060085926,0.14468443,0.02093075,0.020967057,0.14352703,0.019329153,0.08894746,0.1811326
166,0.04841245,0.0701699,0.02167153,0.07664498,0.049665563,0.06989315,0.049141016,0.2469359,0.0208476,0.03571978,0.121671006,0.12736554,0.03371718,0.028144391
167,0.059544936,0.019344663,0.074034035,0.054402784,0.022295412,0.025590234,0.030359196,0.49089015,0.026125768,0.036790308,0.0474165,0.06673427,0.033873506,0.0125982445
168,0.048174098,0.037274417,0.039538648,0.11609284,0.01668566,0.041871537,0.06950294,0.18988208,0.02008906,0.03392522,0.1421987,0.03248824,0.04012936,0.17214718
169,,,0.035148032,0.045103844,0.7129188,,,0.12578973,,,,0.010456869,0.011791634,
170,0.01251193,0.033945277,,0.02511797,0.2954655,0.06559492,0.011472993,0.020566039,0.011704987,,0.28569514,0.19770359,,0.017802514
171,0.18061689,0.05612748,0.013607132,0.06661872,,0.024183052,0.10626836,0.052718055,0.1182444,0.017475713,0.11411645,0.19530416,,0.036583953
172,0.040820967,0.03654283,0.032448586,0.08780899,0.15890501,0.0219165,0.06335164,0.13076371,0.012380794,0.021316068,0.046337698,0.23854302,0.031924326,0.07693989
173,0.09214954,0.016275717,0.027601363,0.1276482,0.29915357,0.01272092,0.017214036,0.21375592,,0.012817027,0.04568752,,0.09287361,0.02716859
174,0.02026671,0.058277816,0.02218149,0.09903114,0.13073142,0.010033523,0.015515596,0.08796022,0.022541914,0.018576022,0.011727868,0.103068806,0.3892158,0.010871703
175,0.024126267,0.019450843,0.03050411,0.027929358,0.03873274,0.13780105,0.019427681,0.047139872,0.015893076,,0.3654001,0.20834583,0.045908052,0.010836567
176,0.011130106,,0.11401652,0.076872535,0.07448361,0.068853274,0.011299079,0.045749173,0.016290663,,0.32869747,0.1827154,0.025499165,0.026535617
