document,0,1,2,3,4,5,6,7,8,9,10
145,0.07529642,0.051803704,,0.075750396,0.38906404,0.040803153,,,,0.34744075,
146,0.08977317,0.14875464,,0.14124353,0.15619293,0.07454367,,,,,0.3716609
147,,0.1292303,,0.35778487,0.3793827,0.0774476,,,0.036615115,,
148,,0.03877698,,0.4501742,0.2881583,0.054696493,,,,,0.15370955
149,,,0.027491827,0.58272976,0.21341188,,,,,0.16442373,
150,,0.20234364,,0.2586763,0.24151717,0.06724591,,,,,0.21370772
151,,,0.041027177,0.55292803,0.18411332,0.047696743,,,,0.15897791,
152,,0.08639716,,0.44561073,0.15195808,,,0.08524256,,0.21770592,
153,,0.102051295,,0.32629174,0.31273925,0.15442233,,0.089197144,,,
154,0.076440066,,,0.19847393,0.5059664,,,0.102988854,,0.09697528,
155,,0.03585854,,0.08739321,0.30224884,,,,,0.20378283,0.3525508
156,0.07964746,0.1682619,,0.22065945,0.28639665,0.048893847,,0.14432047,0.039046176,,
157,,0.04047246,,0.042325277,0.36741868,0.04643856,,,,0.25562507,0.22824936
158,,,,0.5015333,0.2462756,,,,,0.13227512,0.09398933
159,,0.0346873,,0.49836606,0.18977049,0.063552976,,0.19822897,,,
160,,0.05016113,,0.5910378,0.33151916,,,,,,
161,,0.14269932,,0.24246955,0.33860433,,,0.22006975,0.03353976,,
162,0.074936464,0.14512648,,0.5958191,,,,0.14655781,0.020434245,,
163,,0.121009886,,0.609401,0.075237505,,,,,0.17665172,
164,,0.085013054,,0.29847613,0.28897434,,,,,0.3018475,
165,0.21922448,0.1207754,,0.12825976,0.27014133,0.14281645,,,,0.07117172,0.035922598
166,,0.047848646,,0.059329078,0.50974184,0.13834564,,,,,0.22819346
167,,0.07580298,,0.8012744,0.1052059,,,,,,
168,0.28069872,0.103663564,,0.2191398,0.2944112,0.07377283,,,,,
169,,0.0757584,,0.3959128,0.3429807,,,,0.025691703,0.13783558,
170,,0.22645275,,0.19884329,0.20260015,,,0.3444478,,,
171,,0.2099296,,0.04030158,0.2631678,0.020246167,,,,0.075647585,0.3797971
172,,0.14348757,,,0.16677693,0.17597865,,0.36054218,,0.12971409,
