document,0,1,2,3
351,,0.050993856,0.80399424,0.14198178
352,,0.1889564,0.8047485,
353,0.043425493,0.054470316,0.84512246,0.05698168
354,,0.60724777,0.33865356,0.052139133
355,,0.5206271,0.4735978,
356,,0.46711355,0.43517134,0.09532451
357,,0.28004068,0.6147319,0.103385404
358,,0.49170855,0.5051502,
359,,0.51144725,0.4853832,
360,,0.89649284,0.10075923,
361,,0.45531666,0.4843239,0.058363374
362,,0.22620931,0.71109545,0.059227876
363,,0.17011796,0.7338955,0.093944915
364,,0.04856752,0.9020346,0.04754389
365,,0.15113325,0.84477025,
366,,0.82390404,0.17285502,
367,,0.58983386,0.30461487,0.10344061
368,,0.43954176,0.5552611,
369,,0.870546,0.12619433,
370,,0.38744786,0.46740103,0.14338103
371,,,0.934761,0.05932043
372,,0.3195782,0.6742772,
373,,0.26548758,0.7287769,
374,,0.13592556,0.8608326,
375,,0.45885468,0.5362402,
376,,0.99759066,,
377,,0.63788104,0.3595311,
378,,0.6911508,0.3065005,
379,,0.12182221,0.8124015,0.06354483
380,,0.64803195,0.34948018,
381,,0.3128275,0.6823887,
382,,0.5171218,0.47916287,
383,,0.039114866,0.74197924,0.2160862
384,,0.7358407,0.26060024,
385,,0.58661014,0.4086924,
386,,0.66490126,0.33110848,
387,,0.37094665,0.56002194,0.06694459
388,,0.4396642,0.5559513,
389,,0.396254,0.597832,
390,,0.08722716,0.82575434,0.0846512
391,,,0.9974698,
392,,0.28327546,0.4678527,0.24704514
393,,0.2077383,0.68813443,0.10099023
394,,0.062977366,0.7732083,0.16124019
395,,0.26219457,0.73261344,
396,,0.71060246,0.28542292,
397,,0.99688846,,
398,,0.35526404,0.5307512,0.11127583
399,,0.53844947,0.45769414,
400,0.037492286,0.03501343,0.9250432,
401,0.1618342,0.18431093,0.6528313,
402,0.59727085,0.11365547,0.2652186,0.023855112
403,,0.10454081,0.88859123,
404,0.09158389,0.19334133,0.71220696,
405,0.023351967,,0.97302866,
406,0.16350341,0.02848814,0.70259213,0.10541628
407,0.26969028,0.049708534,0.67731416,
408,0.4136565,0.095066726,0.43452466,0.056752097
409,,0.085267596,0.8435582,0.06895998
410,0.14591572,0.051572733,0.799983,
411,0.5260579,0.071115725,0.30314267,0.09968376
412,0.049752247,0.13723946,0.810512,
413,,0.03373583,0.8313664,0.13283944
414,0.79621804,0.021786748,0.18048543,
415,0.32312196,0.11835287,0.46401495,0.094510175
416,0.1596694,0.041677333,0.7138427,0.084810585
417,0.045037236,0.055104848,0.83875275,0.061105147
418,,0.09461037,0.7089006,0.19355568
419,0.058208957,0.07684908,0.86448455,
420,0.14927092,0.13396457,0.6806976,0.036066875
421,0.20487271,0.08854515,0.7055002,
422,0.09792353,0.103759386,0.70740575,0.09091135
423,,0.2637049,0.73165995,
424,0.0810091,0.06791885,0.76818633,0.08288574
425,0.058512956,0.22844557,0.6042086,0.10883287
426,0.08836819,0.13583535,0.5551435,0.22065298
427,0.14617454,0.06810194,0.7843081,
428,0.037283793,0.07010824,0.8921337,
429,0.14104569,0.054845836,0.8033641,
430,0.10053732,0.046992593,0.84942025,
431,0.12197155,0.06988727,0.7017638,0.10637738
432,0.01957243,0.015951786,0.963426,
433,0.092057064,0.052338358,0.69282174,0.16278279
434,0.10313464,0.14261273,0.7517641,
435,0.053257387,0.12499096,0.6757974,0.14595428
436,0.13696957,0.18279517,0.65323985,0.026995419
437,0.18502651,0.17512603,0.59575516,0.044092283
438,0.41457543,0.035810746,0.5084343,0.04117956
439,0.025970519,0.14844237,0.8231833,
440,0.4223713,0.17427467,0.40217933,
441,0.37694827,0.025071742,0.5577517,0.04022831
442,0.19041947,0.06924751,0.53053707,0.2097959
443,0.123927,0.20402534,0.67006516,
444,0.33667445,0.1211525,0.54038566,
445,0.09066498,0.23345312,0.6741279,
446,0.4815546,,0.49389467,0.023808876
447,0.45912975,0.13672864,0.35149822,0.052643392
448,,0.28670263,0.6569207,0.054311298
449,,0.20484349,0.70864844,0.08415801
450,,0.9970062,,
451,,0.06134546,0.5777596,0.358254
452,,0.26282033,0.73117715,
453,0.031469245,0.70811,,0.25944036
454,0.41975844,0.06869648,0.51039165,
455,,0.0389573,0.7145317,0.24423575
456,,0.52048033,0.4392439,0.038694814
457,,0.99758536,,
458,,0.14139542,0.67616516,0.17965217
459,,0.25244597,0.74413997,
460,,0.10904425,0.7776801,0.110949785
461,,0.5269633,0.4690276,
462,0.046422284,0.09431233,0.80380404,0.055461366
463,,0.3617172,0.39037013,0.24577767
464,,0.12175207,0.8733084,
465,,0.5868948,0.32057425,0.090884276
466,0.06112954,,0.7910931,0.14420953
467,,0.11784686,0.5135483,0.36760148
468,0.31080472,0.20677611,0.4805979,
469,0.13376741,0.1196654,0.7447313,
470,,0.11295879,0.8823718,
471,0.32927078,,0.66587853,
472,,,0.99594843,
